90  60  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-03   3.3333333333333335e-05   3.3333333333333334e-08  ! rhol, rhog, mul, mug
 6.6666666666666670e-05   6.6666666666666670e-05   9.2222222222222233e-02   4.7619047619047619e-04  ! f1, f2, g, sigma
 1.0000000000000000e+00  ! alpha
 7.5891076682694115e-03  -1.7775182167573941e-01  ! gamma
-4.6110198442996386e-01   8.8734714737511233e-01  ! a
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U1 = 1.0 + A*y + B*y^2
 0.0000000000000000e+00  -1.0000000000000000e+00  ! U2 = 1.0 + A*y + B*y^2
-5.0627335657082949e-11   9.9661501273828799e-11   0.0000000000000000e+00   0.0000000000000000e+00
-1.3855783090459872e-02  -4.2307796428770097e-02  -9.2026546573949657e-06   3.0512864178926263e-06
-3.9955771256941164e-02  -1.3254477311828902e-01  -9.2280813097433381e-05   2.8985567573271250e-05
-6.7047684994367432e-02  -2.5088008250124322e-01  -3.4096477858891396e-04   9.9231173289987610e-05
-8.6509440007837085e-02  -3.7375142861998251e-01  -7.8417138711583988e-04   2.0916783914676118e-04
-9.6024242611017455e-02  -4.7978929533188341e-01  -1.3370335836115374e-03   3.2806026403654786e-04
-9.8528699365017805e-02  -5.5365539426506438e-01  -1.8269251725537622e-03   4.2051934733925654e-04
-9.8521086352528001e-02  -5.8641737179013842e-01  -2.0743448519860140e-03   4.6330431965239786e-04
-9.8521086352527917e-02  -5.8641737179013365e-01  -2.0743448519859797e-03   4.6330431965239282e-04
-9.7610064799062507e-02  -6.2494323028460452e-01  -2.3906199721422574e-03   5.1454739214948386e-04
-9.2434852401875128e-02  -7.0570954881985781e-01  -3.1495064357448888e-03   6.2326954547586996e-04
-7.9069696388903238e-02  -8.0866971731750625e-01  -4.3292757824934152e-03   7.5763426725209478e-04
-5.7371516148332795e-02  -9.1191120995187980e-01  -5.7965964660851872e-03   8.7483461024195116e-04
-3.2237504312254132e-02  -9.9787744247222532e-01  -7.2840487215456613e-03   9.4516983098036648e-04
-1.1182520796961635e-02  -1.0559695303947225e+00  -8.4550921372708691e-03   9.7011081389298203e-04
-8.9839003022932750e-04  -1.0812468468759071e+00  -9.0130611786258114e-03   9.7328092549378066e-04
-8.9839003023044640e-04  -1.0812468468759027e+00  -9.0130611786257385e-03   9.7328092549377925e-04
 1.1948445617033079e-02  -1.1105766317986383e+00  -9.7014797141398591e-03   9.6983654141465233e-04
 4.1571759166185711e-02  -1.1706351119127194e+00  -1.1266333513951279e-02   9.3336623054921203e-04
 8.4800061309156072e-02  -1.2442418175829448e+00  -1.3528964733954948e-02   8.1546724680813356e-04
 1.3466308089008736e-01  -1.3144557954864708e+00  -1.6153352352488829e-02   5.9087550691459573e-04
 1.8157159349717747e-01  -1.3699058620153493e+00  -1.8668081426484261e-02   2.9490648620546169e-04
 2.1629472385903939e-01  -1.4056729120833142e+00  -2.0571759444679611e-02   2.2104433552519369e-05
 2.3222257596173729e-01  -1.4207742592174764e+00  -2.1459465714946020e-02  -1.1875578556806367e-04
 2.3222257596173729e-01  -1.4207742592174764e+00  -2.1459465714946020e-02  -1.1875578556806367e-04
 2.5136240852250341e-01  -1.4379258795905843e+00  -2.2539603772825718e-02  -3.0146556913544250e-04
 2.9291289045061436e-01  -1.4717240616489879e+00  -2.4940503721703235e-02  -7.5050919380144354e-04
 3.4866233021793802e-01  -1.5104633715039659e+00  -2.8301305911389088e-02  -1.4734781651377445e-03
 4.0770776143669490e-01  -1.5442174682408063e+00  -3.2069688168398329e-02  -2.4066324201533779e-03
 4.5933005457583481e-01  -1.5682282790433759e+00  -3.5576826808320090e-02  -3.3837588961200091e-03
 4.9552672588555063e-01  -1.5822292207775006e+00  -3.8176092658585757e-02  -4.1716361867847242e-03
 5.1162022630254733e-01  -1.5877358859767727e+00  -3.9373797838673411e-02  -4.5521744262699481e-03
 5.1162022630254733e-01  -1.5877358859767727e+00  -3.9373797838673411e-02  -4.5521744262699481e-03
 5.3056355190393489e-01  -1.5936651219279636e+00  -4.0819879851236279e-02  -5.0259078809292675e-03
 5.7029596079096789e-01  -1.6042019877531999e+00  -4.3993965372178714e-02  -6.1187751926953084e-03
 6.2085013602762940e-01  -1.6139785411179881e+00  -4.8356164944691235e-02  -7.7339265034800002e-03
 6.7122505191965998e-01  -1.6197488344979705e+00  -5.3154268696215867e-02  -9.6519017274745728e-03
 7.1274182805820219e-01  -1.6215276958128746e+00  -5.7547322803694172e-02  -1.1528339688852290e-02
 7.4047725126956554e-01  -1.6211933885268839e+00  -6.0765601225390695e-02  -1.2970883039011890e-02
 7.5244407667992463e-01  -1.6206639141153105e+00  -6.2239122600783313e-02  -1.3649487692819285e-02
 7.5244407667992463e-01  -1.6206639141153105e+00  -6.2239122600783313e-02  -1.3649487692819285e-02
 7.6623938929102198e-01  -1.6197588256657267e+00  -6.4011026829102410e-02  -1.4479970650698903e-02
 7.9413258192233815e-01  -1.6169333696003962e+00  -6.7875467307767723e-02  -1.6343471826112711e-02
 8.2748493867594819e-01  -1.6116887781381355e+00  -7.3139358387908832e-02  -1.8988600566576464e-02
 8.5810198973844687e-01  -1.6048384164534613e+00  -7.8879792462447113e-02  -2.1998454304780729e-02
 8.8107275240884653e-01  -1.5981119917101474e+00  -8.4101543322472272e-02  -2.4835031698873911e-02
 8.9507741551770537e-01  -1.5931183783651921e+00  -8.7911496166952971e-02  -2.6956004010273042e-02
 9.0073868954880998e-01  -1.5908442520423376e+00  -8.9652501210304256e-02  -2.7938007159234318e-02
 9.0073868954880998e-01  -1.5908442520423376e+00  -8.9652501210304256e-02  -2.7938007159234318e-02
 9.0694697357770226e-01  -1.5881332102018237e+00  -9.1743692701453314e-02  -2.9127210022412555e-02
 9.1831533064601201e-01  -1.5823491558047005e+00  -9.6297314258815186e-02  -3.1749482380976642e-02
 9.2932244483181092e-01  -1.5748297497010262e+00  -1.0248921261269170e-01  -3.5374814130663013e-02
 9.3596113384800150e-01  -1.5671231444937361e+00  -1.0923451859092301e-01  -3.9381321745571483e-02
 9.3762436194887466e-01  -1.5604747042108560e+00  -1.1536845440712040e-01  -4.3057200539598162e-02
 9.3646397145845661e-01  -1.5557524247384957e+00  -1.1984418184614855e-01  -4.5749352979334280e-02
 9.3531875865365444e-01  -1.5536075474310871e+00  -1.2188958055547992e-01  -4.6980689674085148e-02
 9.3531875865365444e-01  -1.5536075474310871e+00  -1.2188958055547992e-01  -4.6980689674085148e-02
 9.3346360049473831e-01  -1.5510270150943479e+00  -1.2434650826773475e-01  -4.8459662348773407e-02
 9.2773894459033779e-01  -1.5453265617680350e+00  -1.2969664393928734e-01  -5.1676211262367072e-02
 9.1667422988834413e-01  -1.5371749106183792e+00  -1.3696986398799604e-01  -5.6029355014138534e-02
 9.0107863194265148e-01  -1.5273942053302223e+00  -1.4488546254836795e-01  -6.0725594193047731e-02
 8.8443568905324410e-01  -1.5173680644367771e+00  -1.5206987240525688e-01  -6.4939170334978286e-02
 8.7121101651682242e-01  -1.5092411363921683e+00  -1.5729966078137686e-01  -6.7972904942646323e-02
 8.6494243878702981e-01  -1.5052809683062276e+00  -1.5968529511109153e-01  -6.9346866259176354e-02
 8.6494243878703025e-01  -1.5052809683062272e+00  -1.5968529511109147e-01  -6.9346866259176410e-02
 8.5727050320392972e-01  -1.5003132227202367e+00  -1.6254678446403875e-01  -7.0986506302643651e-02
 8.4020216395124092e-01  -1.4886885225193816e+00  -1.6876030385442212e-01  -7.4515101367987210e-02
 8.1674387916367996e-01  -1.4711372689912567e+00  -1.7716257442088143e-01  -7.9218212400207877e-02
