30  40  ! nelx, nely
 1.0000000000000000e+00   1.0000000000000000e-02   5.8823529411764709e-06   5.8823529411764709e-08  ! rhol, rhog, mul, mug
 5.8823529411764709e-06   5.8823529411764709e-08  ! sigmal, sigmag
 1.4906755084711533e-04   2.8719723183391007e-03   8.4033613445378154e-05   0.0000000000000000e+00   5.0000000000000000e+00  ! f, g, st, Bx, Bz
 1.1299999999999999e+00  ! alpha
 2.3417088139119426e-04  -1.7518485662065217e-01  ! gamma
-8.0405266042211543e-01  -5.9455808737928906e-01  ! a
-1.3659345760384115e-02   0.0000000000000000e+00  ! U1 = A*(cosh(k1*y)-1) + B*sinh(k1*y) + 1
-1.3659345760384115e-02   0.0000000000000000e+00  ! U2 = A*(cosh(k2*y)-1) + B*sinh(k2*y) + 1
-9.2099217141594558e-11  -6.8121952523369991e-11   0.0000000000000000e+00   0.0000000000000000e+00
 5.3753582742388728e-01  -2.8516227923764893e-02  -1.4089271362907542e-05  -2.0990640571324321e-04
 1.5775931414379198e+00   5.4376202950518863e-02  -1.7162946960181327e-05  -2.0176291128686363e-03
 2.7129880464318088e+00   3.9416639151790200e-01   4.5970716231890849e-04  -7.0146845821179339e-03
 3.6202980969521028e+00   9.3386817082392004e-01   2.1082263958822462e-03  -1.5058531297863737e-02
 4.1962727318434769e+00   1.4880192115671484e+00   4.8900144945322223e-03  -2.4092692926742525e-02
 4.4959007597919056e+00   1.8971912499474775e+00   7.7432628275269765e-03  -3.1429118627346930e-02
 4.6047342229997437e+00   2.0808493775393995e+00   9.2785848519635842e-03  -3.4942057491757141e-02
 4.6047342229997437e+00   2.0808493775393995e+00   9.2785848519635842e-03  -3.4942057491757141e-02
 4.7249954059220958e+00   2.3172586338859800e+00   1.1518706617013147e-02  -3.9694801150484134e-02
 4.9115675440752184e+00   2.8026512246262594e+00   1.7219430652055809e-02  -5.0425593494218032e-02
 5.0463452041188743e+00   3.3820729464259616e+00   2.6634699836092301e-02  -6.5570636423993106e-02
 5.1030342335495407e+00   3.8950229653996344e+00   3.8763586681152810e-02  -8.2454937083188240e-02
 5.1183617919822968e+00   4.2531378610663033e+00   5.1159679194312725e-02  -9.7977010287150126e-02
 5.1232898499473434e+00   4.4516499128295504e+00   6.0846981717339869e-02  -1.0936346577708679e-01
 5.1256505802314329e+00   4.5254608108653187e+00   6.5418944219994335e-02  -1.1458211081417177e-01
 5.1256505802314329e+00   4.5254608108653187e+00   6.5418944219994335e-02  -1.1458211081417177e-01
 5.1295698328928729e+00   4.6070952792574928e+00   7.1556926090279929e-02  -1.2147229455571923e-01
 5.1423642391040678e+00   4.7263908474894407e+00   8.5268068955145437e-02  -1.3653953062480281e-01
 5.1662495818530676e+00   4.7713796850017145e+00   1.0433625383990239e-01  -1.5718863782919604e-01
 5.1858969667793504e+00   4.6903927567310761e+00   1.2512796568176540e-01  -1.7989526514377557e-01
 5.1795390910020664e+00   4.5268341954678997e+00   1.4361520526375909e-01  -2.0066972135018715e-01
 5.1518578180310319e+00   4.3703781978780318e+00   1.5667300178500046e-01  -2.1583096880696667e-01
 5.1316499729135350e+00   4.2920097498109691e+00   1.6249347530159872e-01  -2.2274082720448654e-01
 5.1316499729135350e+00   4.2920097498109691e+00   1.6249347530159872e-01  -2.2274082720448654e-01
 5.0974846823881705e+00   4.1845880336422079e+00   1.7000897335937115e-01  -2.3181077677287878e-01
 4.9940785721351864e+00   3.9442007990477332e+00   1.8574415986452908e-01  -2.5135718637191079e-01
 4.7991405856209424e+00   3.6309479567608189e+00   2.0575248749579633e-01  -2.7726592954255708e-01
 4.5433698119034993e+00   3.3388689213255094e+00   2.2588899097204124e-01  -3.0431033921376133e-01
